Scale,Taxonomic group,Described species,Background extinction estimate,"Background extinction per century expected for 10,000 species",Extinction estimate,Documented extinctions,Source
Global,Fishes,12457,Low,0.1,Conservative,158,Ceballos et al. (2015)
Global,Fishes,12457,High,2,Conservative,158,Ceballos et al. (2015)
Global,Fishes,12457,Low,0.1,Highly Conservative,66,Ceballos et al. (2015)
Global,Fishes,12457,High,2,Highly Conservative,66,Ceballos et al. (2015)
Global,Mammals,5513,Low,0.1,Conservative,69,Ceballos et al. (2015)
Global,Mammals,5513,High,2,Conservative,69,Ceballos et al. (2015)
Global,Mammals,5513,Low,0.1,Highly Conservative,35,Ceballos et al. (2015)
Global,Mammals,5513,High,2,Highly Conservative,35,Ceballos et al. (2015)
Global,Plants,204793,Low,0.05,Conservative,315,Humphreys et al. (2019)
Global,Plants,204793,High,0.35,Conservative,315,Humphreys et al. (2019)
Global,Plants,204793,Low,0.05,Highly Conservative,315,Humphreys et al. (2019)
Global,Plants,204793,High,0.35,Highly Conservative,315,Humphreys et al. (2019)
Global,Reptiles,4414,Low,0.1,Conservative,24,Ceballos et al. (2015)
Global,Reptiles,4414,High,2,Conservative,24,Ceballos et al. (2015)
Global,Reptiles,4414,Low,0.1,Highly Conservative,8,Ceballos et al. (2015)
Global,Reptiles,4414,High,2,Highly Conservative,8,Ceballos et al. (2015)
Global,Vertebrates,39223,Low,0.1,Conservative,477,Ceballos et al. (2015)
Global,Vertebrates,39223,High,2,Conservative,477,Ceballos et al. (2015)
Global,Vertebrates,39223,Low,0.1,Highly Conservative,198,Ceballos et al. (2015)
Global,Vertebrates,39223,High,2,Highly Conservative,198,Ceballos et al. (2015)
